"TIME","GEO","INDIC_ED","Value","Flag and Footnotes"
"2003","Luxembourg","Pupils at ISCED level 0 - as % of all pupils and students","16.9",""
"2003","Luxembourg","Pupils at ISCED level 0 (1 000)","14.8",""
"2003","Luxembourg","Pupils at ISCED level 1 - as % of all pupils and students","38.9",""
"2003","Luxembourg","Pupils at ISCED level 1 (1 000)","34.1",""
"2003","Hungary","Pupils and students (ISCED levels 1-6) (1 000)","1,968.2",""
"2003","Hungary","Pupils at ISCED level 0 - as % of all pupils and students","14.4",""
"2003","Hungary","Pupils at ISCED level 0 (1 000)","331.7",""
"2003","Hungary","Pupils at ISCED level 1 - as % of all pupils and students","20.2",""
"2003","Hungary","Pupils at ISCED level 1 (1 000)","464.0",""
"2003","Malta","Pupils and students (ISCED levels 1-6) (1 000)","78.6",""
"2003","Malta","Pupils at ISCED level 0 - as % of all pupils and students","10.7",""
"2003","Malta","Pupils at ISCED level 0 (1 000)","9.4",""
"2003","Malta","Pupils at ISCED level 1 - as % of all pupils and students","36.1",""
"2003","Malta","Pupils at ISCED level 1 (1 000)","31.7",""
"2003","Netherlands","Pupils and students (ISCED levels 1-6) (1 000)","3,238.9",""
"2003","Netherlands","Pupils at ISCED level 0 - as % of all pupils and students","9.6",""
"2003","Netherlands","Pupils at ISCED level 0 (1 000)","344.5",""
"2003","Netherlands","Pupils at ISCED level 1 - as % of all pupils and students","36.0",""
"2003","Netherlands","Pupils at ISCED level 1 (1 000)","1,290.6",""
"2003","Austria","Pupils and students (ISCED levels 1-6) (1 000)","1,429.0",""
"2003","Austria","Pupils at ISCED level 0 - as % of all pupils and students","13.3",""
"2003","Austria","Pupils at ISCED level 0 (1 000)","219.8",""
"2003","Austria","Pupils at ISCED level 1 - as % of all pupils and students","23.0",""
"2003","Austria","Pupils at ISCED level 1 (1 000)","379.9",""
"2003","Poland","Pupils and students (ISCED levels 1-6) (1 000)","9,077.3",""
"2003","Poland","Pupils at ISCED level 0 - as % of all pupils and students","8.5",""
"2003","Poland","Pupils at ISCED level 0 (1 000)","840.5",""
"2003","Poland","Pupils at ISCED level 1 - as % of all pupils and students","30.1",""
"2003","Poland","Pupils at ISCED level 1 (1 000)","2,983.1",""
"2003","Portugal","Pupils and students (ISCED levels 1-6) (1 000)","1,961.5",""
"2003","Portugal","Pupils at ISCED level 0 - as % of all pupils and students","11.2",""
"2003","Portugal","Pupils at ISCED level 0 (1 000)","247.5",""
"2003","Portugal","Pupils at ISCED level 1 - as % of all pupils and students","35.4",""
"2003","Portugal","Pupils at ISCED level 1 (1 000)","782.6",""
"2003","Romania","Pupils and students (ISCED levels 1-6) (1 000)","3,914.7",""
"2003","Romania","Pupils at ISCED level 0 - as % of all pupils and students","13.9",""
"2003","Romania","Pupils at ISCED level 0 (1 000)","629.7",""
"2003","Romania","Pupils at ISCED level 1 - as % of all pupils and students","21.8",""
"2003","Romania","Pupils at ISCED level 1 (1 000)","990.8",""
"2003","Slovenia","Pupils and students (ISCED levels 1-6) (1 000)","407.7","d"
"2003","Slovenia","Pupils at ISCED level 0 - as % of all pupils and students","10.6","d"
"2003","Slovenia","Pupils at ISCED level 0 (1 000)","48.5",""
"2003","Slovenia","Pupils at ISCED level 1 - as % of all pupils and students","19.1","d"
"2003","Slovenia","Pupils at ISCED level 1 (1 000)","87.1",""
"2003","Slovakia","Pupils and students (ISCED levels 1-6) (1 000)","1,104.0",""
"2003","Slovakia","Pupils at ISCED level 0 - as % of all pupils and students","12.2",""
"2003","Slovakia","Pupils at ISCED level 0 (1 000)","153.2",""
"2003","Slovakia","Pupils at ISCED level 1 - as % of all pupils and students","21.5",""
"2003","Slovakia","Pupils at ISCED level 1 (1 000)","270.0",""
"2003","Finland","Pupils and students (ISCED levels 1-6) (1 000)","1,192.5",""
"2003","Finland","Pupils at ISCED level 0 - as % of all pupils and students","10.4",""
"2003","Finland","Pupils at ISCED level 0 (1 000)","137.8",""
"2003","Finland","Pupils at ISCED level 1 - as % of all pupils and students","29.5",""
"2003","Finland","Pupils at ISCED level 1 (1 000)","392.7",""
"2003","Sweden","Pupils and students (ISCED levels 1-6) (1 000)","2,118.8",""
"2003","Sweden","Pupils at ISCED level 0 - as % of all pupils and students","13.2",""
"2003","Sweden","Pupils at ISCED level 0 (1 000)","321.0",""
"2003","Sweden","Pupils at ISCED level 1 - as % of all pupils and students","31.8",""
"2003","Sweden","Pupils at ISCED level 1 (1 000)","774.9",""
"2003","United Kingdom","Pupils and students (ISCED levels 1-6) (1 000)","16,043.0",""
"2003","United Kingdom","Pupils at ISCED level 0 - as % of all pupils and students","6.3","d"
"2003","United Kingdom","Pupils at ISCED level 0 (1 000)","1,083.6",""
"2003","United Kingdom","Pupils at ISCED level 1 - as % of all pupils and students","26.2","d"
"2003","United Kingdom","Pupils at ISCED level 1 (1 000)","4,488.2",""
"2003","Iceland","Pupils and students (ISCED levels 1-6) (1 000)","80.0",""
"2003","Iceland","Pupils at ISCED level 0 - as % of all pupils and students","17.0",""
"2003","Iceland","Pupils at ISCED level 0 (1 000)","16.4",""
"2003","Iceland","Pupils at ISCED level 1 - as % of all pupils and students","32.7",""
"2003","Iceland","Pupils at ISCED level 1 (1 000)","31.5",""
"2003","Liechtenstein","Pupils and students (ISCED levels 1-6) (1 000)","5.9",""
"2003","Liechtenstein","Pupils at ISCED level 0 - as % of all pupils and students","12.1",""
"2003","Liechtenstein","Pupils at ISCED level 0 (1 000)","0.8",""
"2003","Liechtenstein","Pupils at ISCED level 1 - as % of all pupils and students","33.1",""
"2003","Liechtenstein","Pupils at ISCED level 1 (1 000)","2.2",""
"2003","Norway","Pupils and students (ISCED levels 1-6) (1 000)","1,036.2",""
"2003","Norway","Pupils at ISCED level 0 - as % of all pupils and students","12.6",""
"2003","Norway","Pupils at ISCED level 0 (1 000)","149.7",""
"2003","Norway","Pupils at ISCED level 1 - as % of all pupils and students","36.5",""
"2003","Norway","Pupils at ISCED level 1 (1 000)","432.6",""
"2003","Switzerland","Pupils and students (ISCED levels 1-6) (1 000)","1,314.8",""
"2003","Switzerland","Pupils at ISCED level 0 - as % of all pupils and students","10.6",""
"2003","Switzerland","Pupils at ISCED level 0 (1 000)","155.9",""
"2003","Switzerland","Pupils at ISCED level 1 - as % of all pupils and students","36.4",""
"2003","Switzerland","Pupils at ISCED level 1 (1 000)","535.6",""
"2003","North Macedonia","Pupils and students (ISCED levels 1-6) (1 000)","381.2","d"
"2003","North Macedonia","Pupils at ISCED level 0 - as % of all pupils and students","8.0","d"
"2003","North Macedonia","Pupils at ISCED level 0 (1 000)","33.1",""
"2003","North Macedonia","Pupils at ISCED level 1 - as % of all pupils and students","28.2","d"
"2003","North Macedonia","Pupils at ISCED level 1 (1 000)","116.6",""
"2003","Albania","Pupils and students (ISCED levels 1-6) (1 000)","692.6","d"
"2003","Albania","Pupils at ISCED level 0 - as % of all pupils and students","10.5","d"
"2003","Albania","Pupils at ISCED level 0 (1 000)","81.3",""
"2003","Albania","Pupils at ISCED level 1 - as % of all pupils and students","32.7","d"
"2003","Albania","Pupils at ISCED level 1 (1 000)","252.8",""
"2003","Turkey","Pupils and students (ISCED levels 1-6) (1 000)","15,564.9",""
"2003","Turkey","Pupils at ISCED level 0 - as % of all pupils and students","2.0",""
"2003","Turkey","Pupils at ISCED level 0 (1 000)","320.0",""
"2003","Turkey","Pupils at ISCED level 1 - as % of all pupils and students","65.0",""
"2003","Turkey","Pupils at ISCED level 1 (1 000)","10,331.6",""
"2004","Belgium","Pupils and students (ISCED levels 1-6) (1 000)","2,333.0","d"
"2004","Belgium","Pupils at ISCED level 0 - as % of all pupils and students","14.6",""
"2004","Belgium","Pupils at ISCED level 0 (1 000)","399.4",""
"2004","Belgium","Pupils at ISCED level 1 - as % of all pupils and students","27.3",""
"2004","Belgium","Pupils at ISCED level 1 (1 000)","747.1",""
"2004","French Community in Belgium including small German-speaking Community","Pupils and students (ISCED levels 1-6) (1 000)","1,011.5",""
"2004","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 0 - as % of all pupils and students","13.9",""
"2004","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 0 (1 000)","162.8",""
"2004","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 1 - as % of all pupils and students","27.3",""
"2004","French Community in Belgium including small German-speaking Community","Pupils at ISCED level 1 (1 000)","320.5",""
"2004","Flemish Community in Belgium","Pupils and students (ISCED levels 1-6) (1 000)","1,321.5",""
"2004","Flemish Community in Belgium","Pupils at ISCED level 0 - as % of all pupils and students","15.2",""
"2004","Flemish Community in Belgium","Pupils at ISCED level 0 (1 000)","236.7",""
"2004","Flemish Community in Belgium","Pupils at ISCED level 1 - as % of all pupils and students","27.4",""
"2004","Flemish Community in Belgium","Pupils at ISCED level 1 (1 000)","426.6",""
"2004","Bulgaria","Pupils and students (ISCED levels 1-6) (1 000)","1,250.1",""
"2004","Bulgaria","Pupils at ISCED level 0 - as % of all pupils and students","13.9",""
"2004","Bulgaria","Pupils at ISCED level 0 (1 000)","201.1",""
"2004","Bulgaria","Pupils at ISCED level 1 - as % of all pupils and students","21.7",""
"2004","Bulgaria","Pupils at ISCED level 1 (1 000)","314.2",""
"2004","Czechia","Pupils and students (ISCED levels 1-6) (1 000)","1,933.7",""
"2004","Czechia","Pupils at ISCED level 0 - as % of all pupils and students","13.0",""
"2004","Czechia","Pupils at ISCED level 0 (1 000)","288.6",""
"2004","Czechia","Pupils at ISCED level 1 - as % of all pupils and students","24.0",""
"2004","Czechia","Pupils at ISCED level 1 (1 000)","534.4",""
"2004","Denmark","Pupils and students (ISCED levels 1-6) (1 000)","1,127.3","d"
"2004","Denmark","Pupils at ISCED level 0 - as % of all pupils and students","18.2",""
"2004","Denmark","Pupils at ISCED level 0 (1 000)","250.1",""
"2004","Denmark","Pupils at ISCED level 1 - as % of all pupils and students","30.5",""
"2004","Denmark","Pupils at ISCED level 1 (1 000)","419.8",""
"2004","Germany (until 1990 former territory of the FRG)","Pupils and students (ISCED levels 1-6) (1 000)","14,583.4","d"
"2004","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 0 - as % of all pupils and students","13.3","d"
"2004","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 0 (1 000)","2,238.3",""
"2004","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 1 - as % of all pupils and students","19.6","d"
"2004","Germany (until 1990 former territory of the FRG)","Pupils at ISCED level 1 (1 000)","3,305.4",""
"2004","Estonia","Pupils and students (ISCED levels 1-6) (1 000)","292.9",""
"2004","Estonia","Pupils at ISCED level 0 - as % of all pupils and students","15.6",""
"2004","Estonia","Pupils at ISCED level 0 (1 000)","54.3",""
"2004","Estonia","Pupils at ISCED level 1 - as % of all pupils and students","26.5",""
"2004","Estonia","Pupils at ISCED level 1 (1 000)","92.1",""
"2004","Ireland","Pupils and students (ISCED levels 1-6) (1 000)",":","d"
"2004","Ireland","Pupils at ISCED level 0 - as % of all pupils and students",":","u"
"2004","Ireland","Pupils at ISCED level 0 (1 000)",":","u"
"2004","Ireland","Pupils at ISCED level 1 - as % of all pupils and students",":",""
"2004","Ireland","Pupils at ISCED level 1 (1 000)","450.4",""
"2004","Greece","Pupils and students (ISCED levels 1-6) (1 000)","1,982.9",""
"2004","Greece","Pupils at ISCED level 0 - as % of all pupils and students","6.6",""
"2004","Greece","Pupils at ISCED level 0 (1 000)","140.3",""
"2004","Greece","Pupils at ISCED level 1 - as % of all pupils and students","31.0",""
"2004","Greece","Pupils at ISCED level 1 (1 000)","657.5",""
"2004","Spain","Pupils and students (ISCED levels 1-6) (1 000)","7,509.2",""
"2004","Spain","Pupils at ISCED level 0 - as % of all pupils and students","15.3",""
"2004","Spain","Pupils at ISCED level 0 (1 000)","1,355.6",""
"2004","Spain","Pupils at ISCED level 1 - as % of all pupils and students","29.6",""
"2004","Spain","Pupils at ISCED level 1 (1 000)","2,621.1",""
"2004","France","Pupils and students (ISCED levels 1-6) (1 000)","11,902.7",""
"2004","France","Pupils at ISCED level 0 - as % of all pupils and students","17.4",""
"2004","France","Pupils at ISCED level 0 (1 000)","2,498.8",""
"2004","France","Pupils at ISCED level 1 - as % of all pupils and students","26.3",""
"2004","France","Pupils at ISCED level 1 (1 000)","3,783.2",""
"2004","Croatia","Pupils and students (ISCED levels 1-6) (1 000)","730.1",""
"2004","Croatia","Pupils at ISCED level 0 - as % of all pupils and students","10.6",""
"2004","Croatia","Pupils at ISCED level 0 (1 000)","86.3",""
"2004","Croatia","Pupils at ISCED level 1 - as % of all pupils and students","23.8",""
"2004","Croatia","Pupils at ISCED level 1 (1 000)","194.6",""
"2004","Italy","Pupils and students (ISCED levels 1-6) (1 000)","9,380.0",""
"2004","Italy","Pupils at ISCED level 0 - as % of all pupils and students","14.9",""
"2004","Italy","Pupils at ISCED level 0 (1 000)","1,643.7",""
"2004","Italy","Pupils at ISCED level 1 - as % of all pupils and students","25.3",""
"2004","Italy","Pupils at ISCED level 1 (1 000)","2,791.2",""
"2004","Cyprus","Pupils and students (ISCED levels 1-6) (1 000)","148.1",""
"2004","Cyprus","Pupils at ISCED level 0 - as % of all pupils and students","9.7",""
"2004","Cyprus","Pupils at ISCED level 0 (1 000)","15.9",""
"2004","Cyprus","Pupils at ISCED level 1 - as % of all pupils and students","37.6",""
"2004","Cyprus","Pupils at ISCED level 1 (1 000)","61.7",""
"2004","Latvia","Pupils and students (ISCED levels 1-6) (1 000)","501.8",""
"2004","Latvia","Pupils at ISCED level 0 - as % of all pupils and students","10.8",""
"2004","Latvia","Pupils at ISCED level 0 (1 000)","60.7",""
"2004","Latvia","Pupils at ISCED level 1 - as % of all pupils and students","16.4",""
"2004","Latvia","Pupils at ISCED level 1 (1 000)","92.5",""
"2004","Lithuania","Pupils and students (ISCED levels 1-6) (1 000)","810.6",""
"2004","Lithuania","Pupils at ISCED level 0 - as % of all pupils and students","9.8",""
"2004","Lithuania","Pupils at ISCED level 0 (1 000)","88.3",""
"2004","Lithuania","Pupils at ISCED level 1 - as % of all pupils and students","18.9",""
"2004","Lithuania","Pupils at ISCED level 1 (1 000)","170.2",""
"2004","Luxembourg","Pupils and students (ISCED levels 1-6) (1 000)","71.4",""
"2004","Luxembourg","Pupils at ISCED level 0 - as % of all pupils and students","16.8",""
"2004","Luxembourg","Pupils at ISCED level 0 (1 000)","14.4",""
"2004","Luxembourg","Pupils at ISCED level 1 - as % of all pupils and students","40.3",""
"2004","Luxembourg","Pupils at ISCED level 1 (1 000)","34.6",""
"2004","Hungary","Pupils and students (ISCED levels 1-6) (1 000)","1,988.2",""
"2004","Hungary","Pupils at ISCED level 0 - as % of all pupils and students","14.1",""
"2004","Hungary","Pupils at ISCED level 0 (1 000)","327.5",""
"2004","Hungary","Pupils at ISCED level 1 - as % of all pupils and students","19.3",""
"2004","Hungary","Pupils at ISCED level 1 (1 000)","447.0",""
"2004","Malta","Pupils and students (ISCED levels 1-6) (1 000)","81.1",""
"2004","Malta","Pupils at ISCED level 0 - as % of all pupils and students","10.1",""
"2004","Malta","Pupils at ISCED level 0 (1 000)","9.1",""
"2004","Malta","Pupils at ISCED level 1 - as % of all pupils and students","34.4",""
"2004","Malta","Pupils at ISCED level 1 (1 000)","31.1",""
"2004","Netherlands","Pupils and students (ISCED levels 1-6) (1 000)","3,264.1",""
"2004","Netherlands","Pupils at ISCED level 0 - as % of all pupils and students","9.7",""
"2004","Netherlands","Pupils at ISCED level 0 (1 000)","349.8",""
"2004","Netherlands","Pupils at ISCED level 1 - as % of all pupils and students","35.5",""
"2004","Netherlands","Pupils at ISCED level 1 (1 000)","1,283.0",""
"2004","Austria","Pupils and students (ISCED levels 1-6) (1 000)","1,452.4",""
"2004","Austria","Pupils at ISCED level 0 - as % of all pupils and students","13.0",""
"2004","Austria","Pupils at ISCED level 0 (1 000)","216.6",""
"2004","Austria","Pupils at ISCED level 1 - as % of all pupils and students","22.3",""
"2004","Austria","Pupils at ISCED level 1 (1 000)","373.0",""
"2004","Poland","Pupils and students (ISCED levels 1-6) (1 000)","9,004.3",""
"2004","Poland","Pupils at ISCED level 0 - as % of all pupils and students","8.5",""
"2004","Poland","Pupils at ISCED level 0 (1 000)","832.3",""
"2004","Poland","Pupils at ISCED level 1 - as % of all pupils and students","29.0",""
"2004","Poland","Pupils at ISCED level 1 (1 000)","2,855.8",""
"2004","Portugal","Pupils and students (ISCED levels 1-6) (1 000)","1,945.3",""
"2004","Portugal","Pupils at ISCED level 0 - as % of all pupils and students","11.5",""
"2004","Portugal","Pupils at ISCED level 0 (1 000)","253.6",""
"2004","Portugal","Pupils at ISCED level 1 - as % of all pupils and students","35.5",""
"2004","Portugal","Pupils at ISCED level 1 (1 000)","780.2",""
"2004","Romania","Pupils and students (ISCED levels 1-6) (1 000)","3,900.7",""
"2004","Romania","Pupils at ISCED level 0 - as % of all pupils and students","14.0",""
"2004","Romania","Pupils at ISCED level 0 (1 000)","636.7",""
"2004","Romania","Pupils at ISCED level 1 - as % of all pupils and students","22.2",""
"2004","Romania","Pupils at ISCED level 1 (1 000)","1,005.5",""
"2004","Slovenia","Pupils and students (ISCED levels 1-6) (1 000)","411.0","d"
"2004","Slovenia","Pupils at ISCED level 0 - as % of all pupils and students","9.2","d"
"2004","Slovenia","Pupils at ISCED level 0 (1 000)","41.4",""
"2004","Slovenia","Pupils at ISCED level 1 - as % of all pupils and students","20.7","d"
"2004","Slovenia","Pupils at ISCED level 1 (1 000)","93.5",""
"2004","Slovakia","Pupils and students (ISCED levels 1-6) (1 000)","1,107.7",""
"2004","Slovakia","Pupils at ISCED level 0 - as % of all pupils and students","12.2",""
"2004","Slovakia","Pupils at ISCED level 0 (1 000)","153.7",""
"2004","Slovakia","Pupils at ISCED level 1 - as % of all pupils and students","20.2",""
"2004","Slovakia","Pupils at ISCED level 1 (1 000)","254.9",""
"2004","Finland","Pupils and students (ISCED levels 1-6) (1 000)","1,206.3",""
"2004","Finland","Pupils at ISCED level 0 - as % of all pupils and students","10.3",""
"2004","Finland","Pupils at ISCED level 0 (1 000)","138.9",""
"2004","Finland","Pupils at ISCED level 1 - as % of all pupils and students","28.8",""
"2004","Finland","Pupils at ISCED level 1 (1 000)","387.9",""
"2004","Sweden","Pupils and students (ISCED levels 1-6) (1 000)","2,122.5",""
"2004","Sweden","Pupils at ISCED level 0 - as % of all pupils and students","13.4",""
"2004","Sweden","Pupils at ISCED level 0 (1 000)","329.3",""
"2004","Sweden","Pupils at ISCED level 1 - as % of all pupils and students","30.6",""
"2004","Sweden","Pupils at ISCED level 1 (1 000)","750.4",""
"2004","United Kingdom","Pupils and students (ISCED levels 1-6) (1 000)","16,549.7",""
"2004","United Kingdom","Pupils at ISCED level 0 - as % of all pupils and students","4.7","d"
"2004","United Kingdom","Pupils at ISCED level 0 (1 000)","822.4",""
"2004","United Kingdom","Pupils at ISCED level 1 - as % of all pupils and students","27.0","d"
"2004","United Kingdom","Pupils at ISCED level 1 (1 000)","4,685.7",""
"2004","Iceland","Pupils and students (ISCED levels 1-6) (1 000)","82.0",""
"2004","Iceland","Pupils at ISCED level 0 - as % of all pupils and students","12.8","d"
"2004","Iceland","Pupils at ISCED level 0 (1 000)","12.1","d"
"2004","Iceland","Pupils at ISCED level 1 - as % of all pupils and students","32.9",""
"2004","Iceland","Pupils at ISCED level 1 (1 000)","31.0",""
"2004","Liechtenstein","Pupils and students (ISCED levels 1-6) (1 000)","6.1",""
"2004","Liechtenstein","Pupils at ISCED level 0 - as % of all pupils and students","12.1",""
"2004","Liechtenstein","Pupils at ISCED level 0 (1 000)","0.8",""
"2004","Liechtenstein","Pupils at ISCED level 1 - as % of all pupils and students","32.8",""
"2004","Liechtenstein","Pupils at ISCED level 1 (1 000)","2.3",""
"2004","Norway","Pupils and students (ISCED levels 1-6) (1 000)","1,052.4",""
"2004","Norway","Pupils at ISCED level 0 - as % of all pupils and students","12.8",""
"2004","Norway","Pupils at ISCED level 0 (1 000)","153.8",""
"2004","Norway","Pupils at ISCED level 1 - as % of all pupils and students","35.8",""
"2004","Norway","Pupils at ISCED level 1 (1 000)","432.3",""
"2004","Switzerland","Pupils and students (ISCED levels 1-6) (1 000)","1,330.2",""
"2004","Switzerland","Pupils at ISCED level 0 - as % of all pupils and students","10.4",""
"2004","Switzerland","Pupils at ISCED level 0 (1 000)","153.8",""
"2004","Switzerland","Pupils at ISCED level 1 - as % of all pupils and students","35.9",""
"2004","Switzerland","Pupils at ISCED level 1 (1 000)","532.1",""
"2004","North Macedonia","Pupils and students (ISCED levels 1-6) (1 000)","376.8","d"
"2004","North Macedonia","Pupils at ISCED level 0 - as % of all pupils and students","8.1","d"
"2004","North Macedonia","Pupils at ISCED level 0 (1 000)","33.1",""
"2004","North Macedonia","Pupils at ISCED level 1 - as % of all pupils and students","27.7","d"
"2004","North Macedonia","Pupils at ISCED level 1 (1 000)","113.5",""
"2004","Albania","Pupils and students (ISCED levels 1-6) (1 000)","700.6","d"
